index,text
尚不明确。,784
"如与其他药物同时使用可能会发生药物相互作用,详情请咨询医师或药师。",418
口服。,325
非处方药物(甲类),166
孕妇禁用。,145
孕妇忌服。,115
"11.如正在使用其他药品,使用本品前请咨询医师或药师。",63
9.本品性状发生改变时禁止使用。,60
10.请将本品放在儿童不能接触的地方。,59
"8.对本品过敏者禁用,过敏体质者慎用。",59
2.感冒发热病人不宜服用。,52
"非处方药物(甲类),国家基本药物目录",52
8.本品性状发生改变时禁止使用。,49
"7.对本品过敏者禁用,过敏体质者慎用。",48
开水冲服。,45
非处方药物(乙类),43
国家医保目录(乙类),39
味甜、微苦。,38
"补气养血,调经止带。",38
活血调经。,38
丸剂(大蜜丸),37
丸剂(水蜜丸),36
孕妇慎用。,36
国家基本药物目录,35
祛瘀生新。,33
"非处方药物(甲类),国家医保目录(乙类)",33
"10.如正在使用其他药品,使用本品前请咨询医师或药师。",32
增强小鼠腹腔巨噬细胞吞噬鸡红细胞的能力。,31
味苦。,31
9.请将本品放在儿童不能接触的地方。,31
1.忌辛辣、生冷、油腻食物。,31
"非处方药物(乙类),国家基本药物目录",31
"6.对本品过敏者禁用,过敏体质者慎用。",31
3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,31
增加四氯化碳所致慢性肝损害大鼠的总蛋白和白蛋白含量。,31
"本品能提高正常小鼠对血中碳粒的清除速度和抗体形成细胞的量,促进B细胞受抗原刺激后的分裂增殖,增加幼鼠胸腺指数;",31
本品可拮抗D-氨基半乳糖所致的急性肝损伤大鼠谷丙转氨酶和谷草转氨酶值的升高;,30
"本品可增加雌鼠子宫重量,增高大鼠子宫指数和雌二醇含量,动物出现动情期的比率增多。",29
具有增强免疫作用。,29
"本品能抑制巴豆油所致小鼠耳廓肿胀,抑制角叉菜胶所致的大鼠足肿胀及大鼠棉球肉芽肿的形成,也能抑制羧甲基纤维素所致腹腔渗出液中白细胞总数的增多。",29
具有雌激素样作用。,29
"本品能促进环磷酰胺所致白细胞总数下降的恢复,提高失血小鼠的血红蛋白含量,缩短小鼠出血时间和血浆复钙时间。",29
"用于月经量少、后错,经来腹痛",28
具有保肝作用。,28
"5.平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血者应去医院就诊。",28
具有抗炎作用。,28
"补气养血、调经止带,用于月经不调、经期腹痛",28
4.青春期少女及更年期妇女应在医师指导下服用。,27
"12.如正在使用其他药品,使用本品前请咨询医师或药师。",27
或遵医嘱。,27
7.本品性状发生改变时禁止使用。,27
具有促进造血和止血作用。,27
1.忌食生冷食物。,27
北京同仁堂股份有限公司同仁堂制药厂,27
11.请将本品放在儿童不能接触的地方。,27
