,index,text
0,尚不明确。,784
1,"如与其他药物同时使用可能会发生药物相互作用,详情请咨询医师或药师。",418
2,口服。,325
3,非处方药物(甲类),166
4,孕妇禁用。,145
5,孕妇忌服。,115
6,"11.如正在使用其他药品,使用本品前请咨询医师或药师。",63
7,9.本品性状发生改变时禁止使用。,60
8,10.请将本品放在儿童不能接触的地方。,59
9,"8.对本品过敏者禁用,过敏体质者慎用。",59
10,"非处方药物(甲类),国家基本药物目录",52
11,2.感冒发热病人不宜服用。,52
12,8.本品性状发生改变时禁止使用。,49
13,"7.对本品过敏者禁用,过敏体质者慎用。",48
14,开水冲服。,45
15,非处方药物(乙类),43
16,国家医保目录(乙类),39
17,"补气养血,调经止带。",38
18,活血调经。,38
19,味甜、微苦。,38
20,丸剂(大蜜丸),37
21,丸剂(水蜜丸),36
22,孕妇慎用。,36
23,国家基本药物目录,35
24,"非处方药物(甲类),国家医保目录(乙类)",33
25,祛瘀生新。,33
26,"10.如正在使用其他药品,使用本品前请咨询医师或药师。",32
27,"6.对本品过敏者禁用,过敏体质者慎用。",31
28,"本品能提高正常小鼠对血中碳粒的清除速度和抗体形成细胞的量,促进B细胞受抗原刺激后的分裂增殖,增加幼鼠胸腺指数;",31
29,味苦。,31
30,9.请将本品放在儿童不能接触的地方。,31
31,增强小鼠腹腔巨噬细胞吞噬鸡红细胞的能力。,31
32,增加四氯化碳所致慢性肝损害大鼠的总蛋白和白蛋白含量。,31
33,"非处方药物(乙类),国家基本药物目录",31
34,3.有高血压、心脏病、肝病、糖尿病、肾病等慢性病严重者应在医师指导下服用。,31
35,1.忌辛辣、生冷、油腻食物。,31
36,本品可拮抗D-氨基半乳糖所致的急性肝损伤大鼠谷丙转氨酶和谷草转氨酶值的升高;,30
37,"本品能促进环磷酰胺所致白细胞总数下降的恢复,提高失血小鼠的血红蛋白含量,缩短小鼠出血时间和血浆复钙时间。",29
38,"本品可增加雌鼠子宫重量,增高大鼠子宫指数和雌二醇含量,动物出现动情期的比率增多。",29
39,具有雌激素样作用。,29
40,具有增强免疫作用。,29
41,"本品能抑制巴豆油所致小鼠耳廓肿胀,抑制角叉菜胶所致的大鼠足肿胀及大鼠棉球肉芽肿的形成,也能抑制羧甲基纤维素所致腹腔渗出液中白细胞总数的增多。",29
42,具有保肝作用。,28
43,"补气养血、调经止带,用于月经不调、经期腹痛",28
44,"5.平素月经正常,突然出现月经过少,或经期错后,或阴道不规则出血者应去医院就诊。",28
45,"用于月经量少、后错,经来腹痛",28
46,具有抗炎作用。,28
47,7.本品性状发生改变时禁止使用。,27
48,"12.如正在使用其他药品,使用本品前请咨询医师或药师。",27
49,或遵医嘱。,27
50,11.请将本品放在儿童不能接触的地方。,27
51,1.忌食生冷食物。,27
52,北京同仁堂股份有限公司同仁堂制药厂,27
53,具有促进造血和止血作用。,27
54,4.青春期少女及更年期妇女应在医师指导下服用。,27
55,每丸重9g,26
56,中药保护品种二级,25
57,"5.服药2周症状无缓解,应去医院就诊。",25
58,"9.对本品过敏者禁用,过敏体质者慎用。",25
59,片剂(薄膜衣),24
60,8.请将本品放在儿童不能接触的地方。,24
61,10.本品性状发生改变时禁止使用。,24
62,"9.如正在使用其他药品,使用本品前请咨询医师或药师。",23
63,2.感冒时不宜服用。,22
64,1.忌辛辣、生冷食物。,22
65,味微苦。,22
66,医师和药师可能对服用同仁乌鸡白凤丸(口服液)应注意事项具有更多的信息。,21
67,"一次1袋,一日2次。",21
68,9.儿童必须在成人监护下使用。,20
69,3.本品宜饭前服用。,20
70,1.忌食寒凉、生冷食物。,20
71,"服药期间避免与生冷、辛辣、荤腥油腻、不易消化食品同用,戒烟酒,以防助湿化热,加重病情。",19
72,"患有其他疾病者,应在医师指导下服用。",19
73,本品为棕黄色至棕褐色的颗粒;,18
74,子宫疾病用药,18
75,"本药内所含人参、白芍,反藜芦,忌与含藜芦的药物同用。",18
76,如有生育要求应在医师指导下服用。,18
77,"如果服用任何其他药品请告知医师或药师,包括任何从药房、超市或保健品商店购买的非处方药品。",17
78,"服药期间不宜喝茶和吃萝卜,不宜同时服用五灵脂、皂荚或其制剂。",17
79,糖尿病患者禁服。,17
80,1.忌油腻食物。,17
81,6.本品性状发生改变时禁止使用。,17
82,"5.对本品过敏者禁用,过敏体质者慎用。",17
83,"本药内所含甘草,反甘遂、大戟、海藻、芫花,忌与含甘遂、大戟、海藻、芫花的药物同用。",16
84,"7.按照用法用量服用,服药过程中出现不良反应应停药,并向医师咨询。",16
85,"4.平素月经量正常,突然出现经量少,须去医院就诊。",15
86,36个月。,15
87,"8、对本品过敏者禁用,过敏体质者慎用。",15
88,"清热利湿,和血通络,调经止带。",15
89,5.青春期少女及更年期妇女应在医师指导下服药。,15
90,"2.患有其他疾病者,应在医师指导下服用。",14
91,"如与其他药物同时使用可能会发生药物相互作用,详情请咨询医师或药师",14
92,尚未明确。,14
93,"11、如正在使用其他药品,使用本品前请咨询医师或药师。",14
94,"1.忌食辛辣,少进油腻。",14
95,"情况紧急可先停止使用,必要时到医院就诊。",14
96,"非处方药物(乙类),国家医保目录(乙类)",14
97,1.忌食辛辣、生冷食物。,14
98,"清湿热,止带下。",13
99,孕妇忌用。,13
100,"非处方药物(甲类),中药保护品种二级",13
101,"气微,味苦。",13
102,"6.服药1个月症状无缓解,应去医院就诊。",13
103,每粒装0.3g,13
